Owner,total_capacity,number_of_plants,average_LitPop_exposure,geographic_spread,company_latitude,company_longitude
YunNan Province Tiangao Nickel Alloy Co Ltd,40000.0,1,229330969.90024498,1,24.80128,104.063455
Shandong IRON&STEEL Group Rizhao Co Ltd,39200.0,1,784949051.4879102,1,35.188969,119.383723
Zenith Steel Group Co Ltd,36040.0,1,18149919723.49238,1,31.707656,120.079591
Yancheng Lianxin Steel Co Ltd,35550.0,1,47191425.791021824,1,33.211332,120.774892
Jincheng FUSHENG Iron & Steel Co Ltd,33440.0,1,981005265.3164757,1,35.662985,112.882395
Shandong Iron & Steel Group Yongfeng Lingang Corp,32600.0,1,238915176.01580334,1,35.137061,119.068319
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,32400.0,1,188809636.46592224,1,36.640411,113.981172
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,32000.0,1,2337622.9703656165,1,40.689778,110.214707
Fujian Sanbao Steel Co Ltd,31824.0,1,1437201755.3926136,1,24.635769,117.603677
Shandong Iron and Steel Co Ltd,30790.0,2,1603669484.8479004,1,36.087804444444444,117.83043277777779
Jiangsu Province Binxin Steel Group Co Ltd,30600.0,1,3627723888.232499,1,35.09556,119.279989
Shanxi Zhongsheng Iron and Steel Co Ltd,30150.0,1,224177109.58702946,1,35.727776,111.330122
Action Ispat and Power Pvt Ltd,30000.0,1,645075019.3542067,1,21.839759,83.982227
Lingyuan Iron & Steel Co Ltd,29400.0,1,1351875952.0510519,1,41.271048,119.41374
Qinhuangdao Hongxing Iron & Steel Co Ltd,28200.0,1,853581286.6142415,1,39.700721,118.871477
ESL Steel Ltd,28000.0,1,1365011682.389793,1,23.632907,86.293671
Tangshan Xinglong Steel Co Ltd,27675.0,1,178134743.02966225,1,39.847612,118.348448
Shaanxi Lueyang Iron and Steel Co Ltd,27450.0,1,32314098.785076372,1,33.323678,106.167206
Shiheng SPECIAL Steel Group Co Ltd,27440.0,1,1341653440.6361408,1,36.229201,116.533981
Sansteel Minguang Co Ltd Fujian,27196.0,1,3154692864.404899,1,26.261109,117.614709
Orissa Metaliks Pvt Ltd,26877.0,3,2465702693.4934688,1,22.25186936111111,86.56544427777777
Shyam Metalics and Energy Ltd,26687.0,2,375459147.55119765,1,22.14055085714286,84.74600051428573
Baosteel Desheng Stainless Steel Co Ltd,26520.0,1,53661889.35483706,1,26.48747,119.654461
Zenith Steel Group (Nantong) Co Ltd,26400.0,1,1230988127.1191046,1,32.133954,121.513173
Yunnan Yuxi Xianfu Iron and Steel (Group) Co Ltd,26320.0,1,20949106.01836089,1,24.012309,102.186364
Changzhou Dongfang Special Steel Co Ltd,25680.0,1,1518567272.309646,1,31.602554,119.724256
Shanxi Jinnan Iron and Steel Group Co Ltd,25600.0,1,162446633.34105244,1,35.678541,111.51465
Fujian Great Dong Hai Industrial Group Co Ltd,24908.0,1,548350467.9412751,1,25.737777,119.592239
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,24750.0,1,31013010.919899933,1,42.333321000000005,86.302481
Shandong Taishan Steel Group Co Ltd,23160.0,1,6228848405.062526,1,36.22141,117.627728
Liaoyang United Steel Co Ltd,22800.0,1,1281795295.850902,1,41.19138,122.877311
Anyang Iron & Steel Co Ltd,22500.0,1,17037663839.757978,1,36.122129,114.283145
ShanXi TongCai Industry and Trade Co Ltd,22320.0,1,747390169.8949468,1,35.694321,111.429381
Jingye (Yingkou) Medium Plate Co Ltd,22000.0,1,1444886964.8755352,1,40.671136,122.395441
Qingdao Special Iron and Steel Co Ltd,21280.0,1,431849713.01466113,1,35.6296,119.722335
Jinan Iron & Steel Group Co Ltd,20800.0,1,2791499561.2492723,1,36.718952,114.111677
Tangshan Songting IRON&STEEL Co Ltd,20000.0,1,1205952791.2560177,1,39.938866,118.576678
Shanxi Zhongyang Iron & Steel Co Ltd,19800.0,1,320338051.3482251,1,37.370796,111.161118
Baoshan Iron & Steel Co Ltd,19800.0,1,72345769161.90762,1,31.41623,121.440087
Sichuan Dazhou Iron & Steel Group Co Ltd,19600.0,1,10197981456.470524,1,31.18945,107.453099
Fujian San'an Iron & Steel Co Ltd,19400.0,1,1080493062.2097301,1,25.244396,118.029905
Jiangsu Xusteel Group Co Ltd,19000.0,1,536146471.99254227,1,34.577016,117.339638
Crest Steel and Power Pvt Ltd,18816.0,1,1306781871.7744355,1,21.190313,81.19922
Yunnan Qujing Shuangyou Iron and Steel Co Ltd,18270.0,1,7472321818.171346,1,25.54218,103.781041
JSW Steel Ltd; POSCO Holdings Inc,18000.0,1,165319279.8517694,1,20.248632,86.156416
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,18000.0,1,10311114379.091043,1,39.300258,117.800231
Fujian Luoyuan Minguang Iron & Steel Co Ltd,17800.0,1,53661889.35483706,1,26.483815,119.67105
Hubei Jinshenglan Metallurgical Technology Co Ltd,17800.0,1,96700424.06712171,1,29.916729,113.822921
Jindal Stainless Ltd,17596.0,3,1675412361.613687,1,21.608124,83.7165586
Minyuan Iron and Steel Group Co Ltd,17400.0,1,258770067.85181326,1,34.013369,116.422599
Wuan Yuhua Steel Co Ltd,16400.0,1,2791499561.2492723,1,36.731752,114.098377
Changshu Longteng Special Steel Co Ltd,16300.0,1,9736930825.62187,1,31.723833,120.835685
Hunan Valin Lianyuan Iron and Steel Co Ltd,16250.0,2,4608518568.66061,1,27.780956,112.43236
Jiugang Group Yuzhong Iron & Steel Co Ltd,16000.0,1,167993672.70306432,1,36.033646,104.035535
Ningbo Iron & Steel Co Ltd,15996.0,1,7787131930.195617,1,29.918776,121.876423
Hubei Lijin Steel Group Co Ltd,15680.0,1,728653447.9992169,1,32.127263,112.715688
Daye SPECIAL Steel Co Ltd,15120.0,1,5065987125.999837,1,30.204603,115.125838
Chengdu Changfeng Steel Group Co Ltd,14960.0,1,846260426.3465284,1,31.031921,103.672956
Evonith Metallics Ltd,14680.0,2,428413959.05805874,1,20.703694666666667,78.62232133333333
Xingtai Iron and Steel Co Ltd,14490.0,2,20037725295.70114,1,37.04054411111111,114.5538808888889
Tokyo Steel Manufacturing Co Ltd,14416.0,4,24376507534.78964,1,34.3563545,132.9585676111111
"Xinyang Iron & Steel Co.,ltd of Angang Group",14400.0,1,382250327.83036226,1,32.488704,114.038243
Xinji AOSEN Steel Group Co Ltd,14400.0,1,215529762.4241828,1,37.752351,115.184798
Baosteel Zhanjiang Iron & Steel Co Ltd,14328.0,1,1178377706.3453572,1,21.056035,110.48657
Mesco Kalinga Steel Ltd,14000.0,1,864289310.3874147,1,20.976277,86.044419
Fujian Dingsheng Steel Co Ltd,13808.0,1,65973740.548705816,1,27.224477,120.328828
Shougang Jingtang United Iron & Steel Co Ltd,13700.0,1,102371633.8710309,1,38.953664,118.50339
Zhongpu (Handan) Iron and Steel Co Ltd,13600.0,1,296202759.7826058,1,36.721376,113.910271
Henan Xinjinhui Stainless Steel Industry Co Ltd,13600.0,1,797364861.8664675,1,34.263509,113.853979
Hebei Xinjin Iron and Steel Co Ltd,13200.0,1,6917400988.421546,1,36.715632,114.208992
Hospet Steels Ltd,13149.0,1,204245873.82605147,1,15.339055,76.251696
Zhenshi Group EASTERN SPECIAL Steel Co Ltd,12848.0,1,2908351559.15047,1,30.720411,120.898518
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,12740.0,1,1570133414.6514165,1,36.664097,114.115263
Shanxi Taigang Stainless Steel Co Ltd,12460.0,1,24668432523.352684,1,37.931488,112.539321
Henan Angang Zhoukou Iron and Steel Co Ltd,12200.0,1,1216482444.7504897,1,33.364534,115.099661
Qinhuangdao Baigong Steel Co Ltd,12040.0,1,1644959560.7920702,1,39.748773,118.819472
Qian'an Zhayi Steel Group Co Ltd,12000.0,1,722897426.2393645,1,40.044026,118.552001
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",12000.0,1,181895609.9521647,1,29.39798,103.542532
Shanxi Changxin Industry Co Ltd,11980.0,1,2719454994.077153,1,36.326589,113.117181
Jishan Mingfu Steel Products Co Ltd,11812.0,1,245177255.62792537,1,35.665945,111.025976
Shandong Jinguan Metallurgical Technology Co Ltd,11240.0,1,9904946687.227655,1,37.449126,116.396787
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,10800.0,1,221366537.43015066,1,21.672609999999995,109.741866
Fulun Iron & Steel Co Ltd,10800.0,1,792299266.5563575,1,36.308447,117.540425
Shanxi Gaoyi Steel Co Ltd,10800.0,1,2190467911.060826,1,35.586841,111.258436
Baldota Steel and Power Ltd,10500.0,1,185356174.34875867,1,15.332616,76.206778
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,10400.0,1,240153183.6302977,1,25.45543,103.547242
Rashmi Green Hydrogen Steel Pvt Ltd,10400.0,1,1986124537.7752411,1,22.331489,87.398085
Daye Huaxin Industrial Co Ltd,10332.0,1,1002488417.5250294,1,30.070219,114.926251
Fujian Yixin Steel & Iron Co Ltd,10040.0,1,136966250.464103,1,26.491308,119.63624
JSW Jharkhand Steel Ltd,10001.0,1,22085261.29316944,1,23.188108,85.715097
Hebei Donghai SPECIAL Steel Group Co Ltd,10001.0,1,1222250055.6719754,1,39.610605,118.474722
JSW Bengal Steel Ltd,10000.0,1,178521520.3246137,1,22.575726,87.310258
Nanjing Iron & Steel Co Ltd,10000.0,1,11508667093.45597,1,32.200797,118.746315
Qinyang Hongda Iron & Steel Co Ltd,10000.0,1,514258504.00895184,1,35.184849,112.902248
Longnan Fuxin Steel Co Ltd,10000.0,1,85055828.36295038,1,24.912904,114.844503
Hebei Yanshan Iron and Steel Group Co Ltd,9990.0,1,4245679723.9297485,1,39.925508,118.672757
Shanxi Meijin Iron and Steel Co Ltd,9890.0,2,1770824955.6579657,1,37.701125777777776,112.28082377777778
Jayaswal Neco Industries Ltd,9800.0,1,1676028759.8407507,1,21.354495,81.676444
Hejin Huaxinyuan Steel & Iron Co Ltd,9400.0,1,1208145259.4777637,1,35.605506,110.652056
Zunyi County Fuxin Iron & Steel Product Co Ltd,9040.0,1,288427354.33009654,1,27.591697,106.815453
Huangshi Xingang Heavy Industry Technology Co Ltd,9000.0,1,69794425.23817413,1,30.097108,115.284652
Zhejiang Yuxin Industrial Co Ltd,8800.0,1,511578477.6555888,1,28.787202,120.248592
Xiangfen County XinJinShan Special Steel Co Ltd,8800.0,1,517374334.2584018,1,35.934831,111.49707
SGIS Songshan Co Ltd,8698.0,1,2904267538.2436757,1,24.708232,113.635898
Anhui Langxi County Fuhang Steel Co Ltd,8400.0,1,86904812.1034762,1,31.246635,119.120443
Guangxi Iron and Steel Group Co Ltd,8400.0,1,226557645.65927386,1,21.580723,108.400896
Chongqing Iron & Steel Co Ltd,8400.0,1,3087923383.6047015,1,29.790253,107.040368
Chongqing Zuhang Steel Co Ltd,8080.0,1,419108487.0652244,1,29.440056,105.741929
Xinjiang KingTec Steel Co Ltd,8004.0,1,93932.5409826021,1,42.674192,86.280156
Cangzhou Lingang Sanling Metal Co Ltd,8000.0,1,90759574.23978685,1,38.311738,117.457779
Xuzhou Jinhong Iron and Steel Group Co Ltd,8000.0,1,62626478.12289046,1,34.500122,116.908897
Chizhou Guichi Guihang Metal Products Co Ltd,8000.0,1,189683194.67400867,1,30.532786,117.25166
Chengde Street Ltd,8000.0,1,896245650.7992102,1,40.947707,117.719747
Shyam Steel Industries Ltd,7840.0,1,363171012.67553264,1,23.590212,86.724603
Ezhou Hongtai Steel Co Ltd,7800.0,1,1723280956.9704273,1,30.532352,114.747597
Zunyi Changling Special Steel Co Ltd,7700.0,1,3047624310.877063,1,27.614947,106.949752
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,7700.0,1,452880777.8970651,1,39.222566,118.094201
Shanghai Meishan Iron & Steel Co Ltd,7600.0,1,3051454698.510215,1,31.902969,118.61667
Jindal Steel Chhattisgarh Ltd,7500.0,1,454682852.3366098,1,21.895041,83.376759
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,7500.0,1,477468708.0493724,1,38.289221,117.814367
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",7440.0,1,218005645.09942687,1,44.022802,125.505627
Rashtriya Ispat Nigam Ltd,7300.0,1,4255549611.1018696,1,17.612846,83.191918
Nakayama Steel Works Ltd,7200.0,1,254812052510.10464,1,34.628162,135.459688
Sichuan Shengquan Iron and Steel Group Co Ltd,7200.0,1,1180067619.3126886,1,31.255961,104.190612
Ningxia Iron and Steel (Group) Co Ltd,7200.0,1,21396075.606333133,1,37.503054,105.078348
Hbzx HIGH Tech Co Ltd,7200.0,1,11073664760.627905,1,40.607977,115.067516
Hebei Anfeng Iron & Steel Co Ltd,7100.0,1,301142693.52749974,1,39.65849,118.894804
Hezhou Zhaoxin Hardware Products Co Ltd,7000.0,1,90031801.82740928,1,23.978567,111.735529
Shanxi Liheng Iron and Steel Co Ltd,7000.0,1,747390169.8949468,1,35.701541,111.42671
Baotou Deshun Spec. Steel Co Ltd,7000.0,1,1018690.4685914837,1,40.9019,110.336253
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,6950.0,2,6169779727.093143,1,36.67410433333333,114.14675855555555
TANG Shan Iron and Steel Group Co Ltd,6840.0,1,39795139194.13621,1,39.648587,118.212487
Yuxi Huixi Metal Casting Products Co Ltd,6800.0,1,1153461107.3559847,1,24.360481,102.481118
Licheng Taihang Iron & Steel Co Ltd,6800.0,1,231213739.23506635,1,36.472303,113.344155
Tianjin Iron and Steel Group Co Ltd,6650.0,1,7120436820.791538,1,39.031083,117.499246
Chubu Steel Plate Co Ltd,6400.0,1,176716694372.9768,1,35.118836,136.867567
Shri Bajrang Power and Ispat Ltd,6400.0,1,450845929.98527956,1,21.48619,81.771697
Baicheng Fuda Bar Rolling Co Ltd,6352.0,1,4030918213.477184,1,45.593303,122.895588
Xinjiang Xin'an Special Steel Co Ltd,6200.0,1,2447855.543441533,1,44.290299,86.595826
Guangxi Guixin Steel Group Co Ltd,6050.0,1,90031801.82740928,1,23.978962,111.735523
Uttam Galva Ferous Ltd,6000.0,1,354990517.4078579,1,15.184613,76.824905
ArcelorMittal SA,6000.0,1,490816268.93993175,1,15.139498,76.918417
NMDC Steel Ltd,6000.0,2,166213907.73032075,1,17.13973905,79.5432955
Xuanhua Iron and Steel Group Co Ltd,6000.0,1,1534319950.0774214,1,40.589591,115.090889
Handan Iron and Steel Group Co Ltd,5952.0,1,34430628965.986046,1,36.601308,114.439889
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,5900.0,1,9319315191.657978,1,26.565265,101.673737
Rashmi Metaliks Ltd,5820.0,2,2928865587.3785763,1,22.51018388888889,87.27168844444444
Nippon Steel Stainless Steel Corp,5696.0,2,1347924308.7101102,1,34.04852588888889,131.79479677777778
Laiwu Steel Yinshan Section Co Ltd,5600.0,1,1723461254.4344203,1,36.106143,117.820108
Zhongxin Iron and Steel Group Co Ltd,5400.0,1,2852869883.3872247,1,34.368618,118.31556
Wulanhot Iron & Steel Co Ltd,5400.0,1,3362380016.537606,1,46.055685,122.063282
Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd,5300.0,1,283759824.5657374,1,26.961516,119.654272
Jai Balaji Industries Ltd,5292.0,2,675745315.8269312,1,23.485256999999997,87.36084149999999
Wuyang Iron and Steel Co Ltd,5040.0,1,642394331.888709,1,33.287536,113.474328
Xindia Steels Ltd,5000.0,1,185356174.34875867,1,15.293421,76.234947
JSW Vijayanagar Metallics Ltd,5000.0,1,334841572.46645224,1,15.203176,76.659122
Hebei Jinxi Iron & Steel Group Co Ltd,5000.0,1,251849587.08247745,1,40.209844,118.220547
Hebei Tangyin IRON&STEEL Co Ltd,5000.0,2,6582094224.79956,1,39.4298775,118.321497
Baowu Group Echeng Iron & Steel Co Ltd,4971.0,1,14250230836.869875,1,30.39574,114.861313
Guangxi Chiji Iron and Steel Co Ltd,4800.0,1,105313275.99139243,1,23.402121,111.134606
JSW Ispat Special Products Ltd,4800.0,1,213067224.22470316,1,21.983709,83.238133
Nilachal Iron & Power Ltd,4784.0,1,631216996.6196955,1,22.874863,86.063646
Yazdani Steel and Power Ltd,4760.0,1,864289310.3874147,1,20.928285,86.036604
JiuJiang PXSteel Co Ltd,4700.0,1,478146017.5263399,1,29.778431,116.27527
MSP Steel & Power Ltd,4692.0,1,122199505.11316605,1,21.87673,83.554495
Osaka Steel Co Ltd,4650.0,1,254812052510.10464,1,34.59822,135.45439
Tonghua Iron & Steel Co Ltd,4590.0,1,601217158.3271072,1,41.779125,126.022349
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500.0,1,438464931.03294915,1,39.497472,118.272056
Hanshan Iron and Steel Co Ltd,4488.0,1,296202759.7826058,1,36.685881,113.837073
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,1,277866579.7444777,1,40.515035,117.596071
Gaolan County Lanxin Steel Co Ltd,4400.0,1,4705947.349746395,1,36.488866,103.922
Jianlong Xilin Iron and Steel Co Ltd,4200.0,1,10642384.938641924,1,47.495036,129.287919
Tangshan Heavy Plate Co Ltd,4200.0,1,658638310.9064554,1,39.268452,119.024819
Shijiazhuang Iron and Steel Co Ltd,4160.0,2,41715661516.27928,1,38.067871499999995,114.2967005
Sunflag Iron and Steel Co Ltd,4100.0,1,158719364.06818208,1,21.232929,79.632398
Guizhou Hexing Metal Products Co Ltd,4080.0,1,30310794.301979743,1,26.509525,107.570458
Tangshan GUOYI SPECIAL Steel Co Ltd,4050.0,1,1597397963.2435653,1,39.659153,118.411488
Tangshan Stainless Steel Co Ltd,4050.0,2,1009690044.964777,1,39.445598000000004,118.448707
JFE Bars & Shapes Corp,4020.0,3,12027511709.652668,1,34.66972,134.5071288
Langfang Guangyuan Metalwork Co Ltd,4000.0,1,1533063394.1574883,1,39.181466,116.838667
Jilin Steel Group Taihua Metal Equipment Manufacture Co Ltd,4000.0,1,912548532.864007,1,44.138826,125.914941
Fangchenggang Jinxi Steel Technology Co Ltd,4000.0,1,954514098.9683073,1,21.646525,108.369582
Anhui Jingxian Longxin Iron and Steel Co Ltd,4000.0,1,271114715.91688704,1,30.709058,118.436638
Qianxinan Prefecture Juxin Industry & Trade General Co,3960.0,1,259782939.28469855,1,25.150857,105.041722
Shandong Guangfu Group Co Ltd,3960.0,1,833477595.0387985,1,36.863145,117.616918
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,1,383769388.9911753,1,36.613716,114.082349
Pangang Group Xichang Steel and Vanadium Co Ltd,3900.0,1,146825967.31663737,1,27.74799,102.20517
Anhui Changjiang Steel Co Ltd,3800.0,1,2369022303.7466125,1,31.502272,118.465162
Yuxi Xinxing Iron & Steel Co Ltd,3792.0,1,204193710.09956524,1,24.249024,102.521747
Guangdong Jinshenglan Metallurgical Technology Co Ltd,3600.0,1,288572450.6037076,1,22.888729,112.263081
Shougang Changzhi IRON& Steel Co Ltd,3600.0,1,2449438562.2978115,1,36.356404,113.060809
Xiwang METAL Science Technology Co Ltd,3600.0,1,1079457394.0062003,1,36.928208,117.694654
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501.0,1,2917021785.146939,1,26.595229,104.877413
Ningxia Jianlong Special Steel Co Ltd,3500.0,1,698923464.9402945,1,39.215452,106.688294
Hebei Wenfeng STEEL&IRON Co Ltd,3499.0,1,1570133414.6514165,1,36.64577,114.124258
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,3418.0,1,4568324809.945682,1,39.803524,118.205663
Guangxi BG New Materials Co Ltd,3400.0,1,490660026.3866026,1,21.519924,109.506427
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300.0,1,1835372768.9161925,1,32.249602,119.620438
Guangxi Deyuan Metallurgy Co Ltd,3200.0,2,271821385.1967023,1,22.785653,109.11917
Gallantt Ispat Ltd,3200.0,1,881769082.2374166,1,26.757009,83.199086
Prakash Sponge Iron and Power Pvt Ltd,3060.0,1,10655640.702493113,1,14.152912,76.665824
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051.0,1,2524762539.6796427,1,21.96092,113.198718
Haicheng Hengsheng Casting Co Ltd,3040.0,1,722648668.565372,1,41.057478,122.8328
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034.0,1,658638310.9064554,1,39.270032,119.01376
Captain Steel India Ltd,3008.0,2,3138038076.544331,1,23.67922842897039,86.89247964054243
Jinding Heavy Industries Co Ltd,3000.0,1,2791499561.2492723,1,36.718952,114.111677
Tangshan Xinbaotai Iron & Steel Co Ltd,3000.0,1,597616844.3023248,1,39.861425,118.03667
Tangshan Guotang Steel Co Ltd,3000.0,1,658638310.9064554,1,39.293147,119.046972
Bhushan Power & Steel Ltd,3000.0,1,113645399.55906004,1,22.665526,85.64622
Fujian Tsingtuo Nickel Industry Co Ltd,3000.0,1,11794218.386546498,1,26.768925,119.765203
Lianyungang Yaxin Iron and Steel Co Ltd,3000.0,1,890142435.6329616,1,34.423786,119.778311
Lengshuijiang Iron and Steel Co Ltd,3000.0,1,982323572.5654914,1,27.690401,111.437288
Shangang Group Hanzhong Iron & Steel Co Ltd,3000.0,1,686629951.6960833,1,33.133192,106.671859
Weifang SPECIAL Steel Group Co Ltd,3000.0,1,3368126297.6347632,1,36.644469,119.238427
Tianjin Metallurgy Group Zhasan Steel Co Ltd,3000.0,1,805190129.0529438,1,38.825269,117.08849
DELONG Steel Ltd,3000.0,1,676290293.567939,1,37.086116,114.384832
